;Nama;Spesialisasi;Fakultas;Link Scholar
34;Cut Dahlia Iskandar., drh., M.Sc, Ph.D ;Histopatologi dan Biologi Molekuler;FKH;https://scholar.google.co.id/citations?hl=id&user=kBCK9tgAAAAJ
35;Cut Nila Thasmi., drh., M.S. ;;FKH;https://scholar.google.com/citations?hl=en&user=pFtMNyQAAAAJ
36;Darmawi., Prof. Dr. drh., M.Si ;Sains Veteriner;FKH;
37;Dwinna Aliza., drh., M.Sc ;Patologi Veteriner;FKH;https://scholar.google.com/citations?user=xV6LQcEAAAAJ&hl=en
38;Erdiansyah Rahmi., drh., M.Si ;Konservasi Prilaku Hewan dan Histologi Embriologi;FKH;https://scholar.google.co.id/citations?user=PQgQiT0AAAAJ&hl=en
39;Erwin., Dr. drh., M.Sc ;Veterinary Surgery;FKH;https://scholar.google.com/citations?hl=en&user=xkZc2ksAAAAJ
40;Etriwati., Dr. drh., M.Si ;;FKH;https://scholar.google.co.id/citations?hl=en&user=E-KDEYwAAAAJ
41;Faisal Jamin., drh., M.Si ;Microbiology, Bacteriology, Immunology, Micology, Veterinary, Medicine;FKH;https://scholar.google.co.id/citations?user=2LZE3ScAAAAJ&hl=en
42;Farida., Dr. drh., M.Si ;Medical Entomology, Parasitologi, Imunologi Parasit.;FKH;https://scholar.google.co.id/citations?hl=en&user=71VVokIAAAAJ&view_op=list_works
43;Frengki., S.Farm., Apt, M.Farm ;Biologi molekuler, Bioinformatika dan Produk Sediaan Farmasi;FKH;
44;Gholib., Dr., S.Pt., M.Si. ;Fisiologi Veteriner, Behavior Endocrinology, Development of Enzyme Immunoassay (EIA/ELISA);FKH;https://scholar.google.co.id/citations?user=Mxke6QkAAAAJ&hl=en
45;Hafizuddin., Dr. drh., M.Si ;Veterinary, Reproduction, Theriogenology, Endocrinology ;FKH;https://scholar.google.co.id/citations?user=tkQt0aAAAAAJ&hl=en
46;Hamny., Dr.drh., M.Si ;Veterinary Anatomy and Histology, Immunohistochemistry ;FKH;https://scholar.google.co.id/citations?user=ofvdc50AAAAJ&hl=en&oi=ao
47;Hennivanda., Dr. drh., M.Si ;Natural Deep Eutectic Solvents, Herbal Medicine;FKH;https://scholar.google.com/citations?hl=en&user=9UbNZrgAAAAJ
48;Herrialfian., drh., M.Sc ;;FKH;https://scholar.google.co.id/citations?user=S9hvHIAAAAAJ&hl=en
49;Juli Melia., Dr. drh., M.Si ;Animal reproduction, obstetrics and infertility;FKH;https://scholar.google.co.id/citations?user=aHgkb68AAAAJ&hl=en
50;M. Hanafiah., Dr. drh., M.P. ;Toksoplasma;FKH;https://scholar.google.co.id/citations?user=C4Ncf_IAAAAJ&hl=en
51;M. Hasan., drh., M.Si. ;KLinik;FKH;https://scholar.google.co.id/citations?user=uC-kCx4AAAAJ&hl=en
52;M. Nur Salim., Dr. drh., M.Si ;Patologi Veteriner;FKH;https://scholar.google.co.id/citations?hl=en&user=v5la8KoAAAAJ
53;Mahdi Abrar., Prof. Dr., M.Sc. ;;FKH;https://scholar.google.co.id/citations?hl=en&user=OcuarfkAAAAJ
