;Nama;Spesialisasi;Fakultas;Link Scholar
316;Muzailin., Dr., S.Si, M.Sc. ;Geo-spatial, GIS, Remote Sensing;FMIPA;https://scholar.google.co.id/citations?user=SSydSGoAAAAJ&hl=en
317;Nany Salwa., S.Si, M.Si ;Statistika;FMIPA;https://scholar.google.co.id/citations?user=7pWghrUAAAAJ&hl=en&oi=ao
318;Nasrullah., Dr. Eng., S.Si., M.T. ;Studi Mekanisme Pembangkitan dan Aplikasi Teknik Spektroskopi Plasma Laser (Laser-Induced Breakdown Spectroscopy, LIBS);FMIPA;https://scholar.google.com/citations?user=XDq-u_IAAAAJ
319;Nazaruddin., Dr., S.Si, M.Si ;Biokimia;FMIPA;https://scholar.google.co.id/citations?hl=en&user=goXgo2cAAAAJ
320;Nazli., Dr., S.Si, M.Si ;Geofisika Eksplorasi dan Mitigasi Bencana;FMIPA;https://scholar.google.co.id/citations?user=yQLnh6AAAAAJ&hl=en
321;Nizamuddin., Dr., M.Info.Sc. ;Sistem Informasi Geografis;FMIPA;https://scholar.google.com/citations?user=gpOWIrQAAAAJ&hl=en
322;Novi Reandy Sasmita., S.Si., M.Sc ;Computational Epidemiology, Biostatistics, Mathematical Modelling in Infectious Disease;FMIPA;https://scholar.google.com/citations?user=a9zDFAEAAAAJ&hl=en
323;Rahmi., Prof. Dr., S.Si, M.Si ;Kimia;FMIPA;https://scholar.google.co.id/citations?user=x1-C52sAAAAJ&hl=en
324;Rajibussalim., M.Sc, M.InfoTec ;;FMIPA;https://scholar.google.com/citations?hl=en&user=c2tYLikAAAAJ
325;Rasudin., S.Si., M.Info.  ;Basis Data;FMIPA;https://scholar.google.co.id/citations?user=HYuqQKsAAAAJ&hl=en
326;Razief Perucha Fauzie Afidh., S.Si., M.Sc ;Database, Datamining, ICT for Development;FMIPA;https://scholar.google.co.id/citations?user=bu9FTpwAAAAJ&hl=en
327;Rinaldi Idroes., Prof.Dr.rer.nat., S.Si ;Kimia Analitik;FMIPA;https://scholar.google.com/citations?user=4m3BxCkAAAAJ&hl
328;Rini Safitri., Dr., S.Si., M.Si. ;Dosimetry Radiation, Enviroment.;FMIPA;https://scholar.google.co.id/citations?user=7x3lX0sAAAAJ&hl=en
329;Saiful., Dr., S.Si., M.Si ;Pemisahan Kimia Analitik dan Kimia Membran;FMIPA;
330;Saiful Mahdi., Dr., S.Si, M.Sc ;Ekonometrika, Statistik Resmi (Official Statistics), Statistik Sosial, Demografi & Kependudukan, Survei & Kebijakan Publik, Studi Pembangunan;FMIPA;https://scholar.google.co.id/citations?user=SBvzIEsAAAAJ&hl=en
331;Samsul Anwar., S.Si., M.Sc ;Reliabilitas Masa Hidup, Time Series, Machine Learning, Biostatistika/Statistik Kesehatan, dan Metode Statistika lainnya;FMIPA;https://scholar.google.co.id/citations?hl=en&imq=Samsul+Anwar&user=XLF1V0IAAAAJ
332;Saumi Syahreza., Dr., S.Si., M.Si ;Elektronik, Teknologi Optik dan Penginderaan Jauh;FMIPA;https://scholar.google.co.id/citations?user=nqTs-UcAAAAJ&hl=id
333;Suhartono., Dr., S.Si., M.Sc. ;Mikrobiologi. plasmid, gen resistensi antibiotik;FMIPA;https://scholar.google.co.id/citations?hl=en&user=t0N-OtgAAAAJ
334;T. Khairuman., S.Si., M.Si ;Physics, Applied Physics, Oceanography, Seismology;FMIPA;https://scholar.google.co.id/citations?user=CKe-UqcAAAAJ&hl=en
335;Tarmizi., Dr., M.Sc ;Numerik;FMIPA;https://scholar.google.co.id/citations?hl=en&user=e-YH7qUAAAAJ
336;Taufik Fuadi Abidin., Prof. Dr., S.Si., M.Tech ;Data Mining, Information Retrieval, Text & Web Mining;FMIPA;https://scholar.google.com/citations?hl=en&user=dQ9hP8kAAAAJ&view_op=list_works&gmla=AJsN-F7vfCVO3osHsUiTgEgZUsW59xFJtTaoKBe1kQbigLvdVetpRCYoaJZJKjRdsuF22NsUBWuAmTWFShf7wUU_s_tWLL_mj6jc_SMhHqAJy5ISkXKyJUg&undo=untrash_citations,_FxGoFyzp5QC
337;Teuku Mohamad Iqbalsyah., Prof. Dr., S.Si, M.Sc. ;Enzyme, fermentation;FMIPA;https://scholar.google.com/citations?authuser=1&user=qNKpVCS1zkYC
338;Vera Halfiani., S.Si., M.Mat ;rogue wave generation and simulation (wave dynamics), optimal control, epidemic modeling, mathematical optimization, and numerical analysis;FMIPA;https://scholar.google.com/citations?user=ywRydOoAAAAJ&hl=en
339;Viska Mutiawani., S.Sn, M.IT ;educational application, programming learning, ICT4D;FMIPA;https://scholar.google.co.id/citations?user=3LgixxMAAAAJ&hl=en
340;Zulkarnain., Dr., S.Si., M.Si. ;Fisika Material, Nanomaterial, Mineralogi;FMIPA;https://scholar.google.co.id/citations?user=-9_o7psAAAAJ&hl=en
341;Zurnila Marli Kesuma., Dr., S.Si., M.Si ;Biostatistika;FMIPA;https://scholar.google.com/citations?hl=en&user=VhTc6_cAAAAJ
342;Alfi Rahman., M.Si., Ph.D ;Disaster Risk Reduction (DRR), Disaster Education, Indigenous Knowledge for DRR, Knowledge Management for DRR, Disaster Risk Communication (DRC);FISIP;https://scholar.google.co.id/citations?user=WzBr33cAAAAJ&hl=id&authuser=2
343;Ardiansyah., S.IP.,MA ;;FISIP;https://scholar.google.co.id/citations?hl=en&user=mpVVPzgAAAAJ
344;Cut Maya Aprita Sari., S.Sos., M.Soc. Sc. ;Political Theory and Philosophy, Conflict and Peace Studies, Ethnicity, Identity and Nationalism.;FISIP;https://scholar.google.co.id/citations?user=OH50TRoAAAAJ&hl=en
345;Deni Yanuar., S.IP., M.IKom. ;Marketing Communication, Integrated Communication, Interpersonal Skill Communication, Crissis Communication and Reputation, Advertising, Communication Tekhnology;FISIP;https://scholar.google.co.id/citations?user=N3boUSkAAAAJ&hl=en
346;Effendi Hasan., Dr., M.A. ;Partai Politik dan Pemilu dan Politik Lokal ;FISIP;https://scholar.google.co.id/citations?user=HajubiYAAAAJ&hl=en
347;Febri Nurrahmi., S.Sos., M.MP. ;Komunikasi Massa, Media Baru, Literasi Media;FISIP;https://scholar.google.co.id/citations?hl=id&view_op=list_works&gmla=AJsN-F7u2n2WjAO_9Kd9UefitHtwE8wUtCKB2S676OLr1-kSz1z1QQh6TzIrbEsN3WOvPzwfLkQACc0T2ut1THwsCAno0Oi18zCmyxwt4PykuFKonHARsLE&user=1KYmUvAAAAAJ
348;Hamdani M. Syam., Dr., M.A ;Kajian Media Massa, Pesan dan Khalayak;FISIP;https://scholar.google.co.id/citations?user=xwVCn-oAAAAJ&hl=en
349;Masrizal., Dr., S.Sos.I. MA ;Sosiologi Gender dan Pembangunan;FISIP;https://scholar.google.co.id/citations?user=uFpDYUwAAAAJ&hl=en
350;Ardia Putra., Ners., S.Kep., MNS ;Keperawatan Dasar & Manajemen Keperawatan;FKEP;https://scholar.google.co.id/citations?user=nhtlYL4AAAAJ&hl=id
351;Marthoenis., Dr.rer. med. Ns., M.Sc., MPH ;Social and Epidemiological Psychiatry, Public Health;FKEP;https://scholar.google.com/citations?user=rYwxdHEAAAAJ&hl=en
352;Rachmalia., Ns., S.Kep, MNS ;;FKEP;https://scholar.google.co.id/citations?user=VetnBfQAAAAJ&hl=en
353;Teuku Tahlil., Dr., S.Kp. MS ;"Community health; School health; Adolescent health; Addiction; Smoking";FKEP;https://scholar.google.co.id/citations?user=Y0j459cAAAAJ&hl=en
354;Abdillah Imron Nasution., drh., M.Si ;;FKG;https://scholar.google.co.id/citations?user=AdjomOsAAAAJ&hl=en
355;Hj. Suzanna Sungkar., Dr. drg., Sp.KGA ;Patologi jaringan keras dan lunak mulut pada anak, kelainan dentokraniofasial pada anak, penggunaan bahan alam;FKG;https://scholar.google.co.id/citations?user=w9cW4v8AAAAJ&hl=id
356;Liana Rahmayani., drg., Sp.Pros ;Ilmu prostodonsia dan protesa maksilofasial;FKG;https://scholar.google.co.id/citations?hl=id&pli=1&user=mYveJ-IAAAAJ
357;Poppy Andriany., drg., M.Kes ;Epidemiologi;FKG;https://scholar.google.co.id/citations?user=7DtXWb8AAAAJ&hl=id
358;Rachmi Fanani Hakim., drg., M.Si ;;FKG;https://scholar.google.co.id/citations?user=a-x-IF4AAAAJ&hl=id
359;Zulfan Alibasyah., Dr. drg., Sp.Perio ;;FKG;https://scholar.google.co.id/citations?view_op=list_works&hl=en&user=U85kOpQAAAAJ
360;Adlim., Prof. Dr., M.Sc ;Ilmu Kimia dan Pendidikan kimia;FKP;https://scholar.google.co.id/citations?hl=en&user=bsWGfmkAAAAJ&view_op=list_works&gmla=AJsN-F6UX01SXe619Ti2CjU52g_qyfaurHNaTnuPVXMPGgZ0KW3ofj46oRopono_rlaHKVSm_2OpCHvnybJsSw7DZp58pZBvdqpVPEg1kH_MG53QXdYGiU54KIRUo4EjGttn4Bj7phYK
361;Alvi Rahmah., S.Pi., M.Si. ;Sistem dan Pemodelan Perikanan Tangkap;FKP;https://scholar.google.co.id/citations?user=hVhi2_0AAAAJ&hl=en
362;Dedi Fazriansyah Putra., S.St.Pi., M.Sc. ;Budidaya Perairan;FKP;https://scholar.google.co.id/citations?user=cn1hSyMAAAAJ&hl=en
363;Haekal Azief Haridhi., S.Kel., M.Sc ;Geological Oceanography and Marine Geophysics (Applied Geosciences);FKP;https://scholar.google.com/citations?user=OowMnBUAAAAJ&hl=en
364;Ichsan Setiawan., S.Si., M.Si. ;Sediment Transport Modeling/Physical Oceanography;FKP;
365;Iko Imelda Arisa., S.Kel., M.Si. ;Kesehatan dan Nutrisi Ikan;FKP;https://scholar.google.co.id/citations?hl=en&user=WJ-YNdsAAAAJ
366;Iko Imelda Arisa., S.Kel., M.Si. ;;FKP;https://scholar.google.co.id/citations?hl=en&user=WJ-YNdsAAAAJ
367;Irma Dewiyanti., S.Pi., M.Sc ;Biologi Laut;FKP;https://scholar.google.co.id/citations?user=uB0Hx5UAAAAJ&hl=id
368;Ismarica., S.Pi., M.Si. ;Akuakultur;FKP;https://scholar.google.com/citations?view_op=list_works&hl=id&user=EzLBEb4AAAAJ
369;Muchlisin Z.A., Prof. Dr., S.Pi, M.Sc ;Ichthyology/Ekobiologi dan Genetika Ikan;FKP;https://scholar.google.co.id/citations?user=K1Ua_bUAAAAJ&hl=en&oi=sra
370;Muhammad., Drs., M.Si ;;FKP;https://scholar.google.co.id/citations?hl=en&user=3ijS53wAAAAJ
371;Muhammad Irham., Dr. Ir., S.Si, M.Si. ;Geology, geomorphology, numerical modeling, coastal processes, enviroment, and energy;FKP;https://scholar.google.com/citations?user=j3srek0AAAAJ&hl=id&oi=ao
372;Muhammadar., Dr., ST, MP ;Nutrisi Ikan;FKP;https://scholar.google.co.id/citations?user=UMDqPuEAAAAJ&hl=id
373;Nur Fadli., Dr., S.Pi., M.Sc ;Biologi Laut;FKP;https://scholar.google.co.id/citations?user=rrUwybAAAAAJ&hl=id&authuser=1
374;Ratna Mutia Aprilla., S.Kel., M.Si. ;Pengelolaan Perikanan Tangkap;FKP;https://scholar.google.co.id/citations?hl=id&authuser=1&user=G0aVfKIAAAAJ
375;Siska Mellisa., S.Kel., M.Sc. ;;FKP;https://scholar.google.com/citations?user=ZakZw8cAAAAJ&hl=en
376;Siti Maulida., S.Si., M.Si. ;Fisheries Biology, Biotechnology;FKP;https://scholar.google.com/citations?user=BpxfctEAAAAJ&hl=en
377;Syahrul Purnawan., S.Pi., M.Si ;Sedimentologi, Bottom Acoustic;FKP;https://scholar.google.co.id/citations?user=L6MzteUAAAAJ&hl=en
378;Teuku Haris Iqbal., S.Kel., M.Sc. ;Feeding Ecology;FKP;https://scholar.google.com/citations?hl=en&user=JK3b8zMAAAAJ
379;Darniati., drh., M.Si ;;FKH;https://scholar.google.com/citations?view_op=list_works&hl=id&user=r7Tmdt8AAAAJ
380;Devi Sundary., S.T., M.T. ;;FT;https://scholar.google.co.id/citations?user=krmty7MAAAAJ&hl=id
381;M. Yunus., Dr. Ir., M.Sc ;Ruminant Nutrition;FP;https://scholar.google.com/citations?hl=en&authuser=1&user=kaXKhRQAAAAJ
382;Amirullah., Drs., M.Si ;;FKIP;https://scholar.google.co.id/citations?hl=en&user=hIa_QdkAAAAJ&authuser=4&scilu=&scisig=AMstHGQAAAAAWdTu2Z3YqEQjgdabUamj0kyE6x84Zd7c&gmla=AJsN-F41M9gR2cjwC7_00lKdVi0ulnbpVECSfemb3bgc67W9dRCtm_XMhxFrZvvcK4j8lduDn-MocfzuX_ZIS00Wx8aftmzAA0lxtOg4jwcIzrUFPiDTz
383;M. Nasir Basyah., Drs., M.Si ;;FKIP;https://scholar.google.co.id/citations?user=MMZGgzUAAAAJ&hl=en&authuser=6
384;Rivansyah Suhendra., S.Kom ;;Belum terupdate;https://scholar.google.co.id/citations?user=cXq0wdoAAAAJ&hl=id
385;Syahrul Ridha., Dr., S.Pd., M.Pd. ;;FKIP;
386;Abdul Rahman Lubis., Prof. Dr., M.Sc ;;FE;https://scholar.google.com/citations?user=W9f1NicAAAAJ&hl=id
387;Aliamin., Dr., S.E., M.Si.Ak,  ;;FE;https://scholar.google.com/citations?user=ojdq0pIAAAAJ&hl=en
388;Aliasuddin., Dr., S.E, M.Si ;Economics;FE;https://scholar.google.co.id/citations?user=omeNVQwAAAAJ&hl=en
389;Apridar., Prof.Dr., S.E.,M.Si. ;Ekonomi, Pendidikan dan Agama;FE;https://scholar.google.com/citations?user=Wm780KwAAAAJ&hl=en
390;Chenny Seftarita., Dr., SE., M.Si ;Ekonomi Moneter;FE;
391;Fakhruddin., S.E, M.S.E ;;FE;https://scholar.google.co.id/citations?user=BoalyhEAAAAJ&hl=id&oi=ao
392;Fauziah Aidafitri., S.E., M.Si ;Akuntansi Keprilakuan, Auditing, dan Akuntansi Manajemen;FE;https://scholar.google.co.id/citations?user=6-tTzPsAAAAJ&hl=en&oi=ao
393;Hafasnuddin., Dr., S.E, MBA ;Marketing;FE;
394;Hasan Basri., Dr., M.Com ;Qualitative research, Accounting and Accountability in non-proit/religious organization;FE;https://scholar.google.com/citations?hl=en&view_op=list_works&gmla=AJsN-F6ni7y-Flt9WeUOhSEksxa6PUV_H-DJgp7T6zJZM6vWta776YlMHfrvyKPXwFowvxsk6OQ3fj8kgF_elzIaYbOR-XxSnA&user=YrUO1QMAAAAJ
395;Jasman J., Prof. Dr., S.E,MBA ;;FE;https://scholar.google.co.id/citations?user=pJtARx4AAAAJ&hl=id&authuser=2
396;Jeliteng Pribadi., S.E.,MM, MA ;Marketing, Marketing Communication, Advertising;FE;https://scholar.google.com/citations?user=fmKGC5YAAAAJ&hl=en
397;Linda., S.E., M.Si ;Finance;FE;https://scholar.google.com/citations?user=pEFgKWsAAAAJ&hl=en
398;Mirna Indriani., Dr., S.E., M.Si. ;Behavioral Accounting, Accounting System, Management Accounting System ;FE;https://scholar.google.co.id/citations?user=kZZvyi4AAAAJ&hl=en
399;Muhammad Abrar., Dr., S.E, M. Si ;Ekonomi Perencanaan Pembangunan;FE;https://scholar.google.com/citations?user=7LGdePoAAAAJ&hl=en
400;Muhammad Arfan., Dr., S.E., M.Si. Ak ;;FE;https://scholar.google.co.id/citations?hl=en&user=hJt7m3sAAAAJ
401;Muhammad Ilhamsyah Siregar., S.E., M.A ;;FE;https://scholar.google.co.id/citations?hl=id&user=b0mUPhwAAAAJ
402;Nadirsyah., Dr., S.E., M.Si, Ak. ;Akuntansi dan Auditing;FE;https://scholar.google.co.id/citations?user=v7fAmO4AAAAJ&hl=id&authuser=1
403;Nasir., Prof. Dr., S.E., MBA. ;;FE;https://scholar.google.co.id/citations?user=9ykwSjwAAAAJ&hl=id
404;Ratna Mulyany., Dr., BACC., MSACC ;Islamic accounting & finance, International accounting, Financial reporting, Accounting standards;FE;https://scholar.google.com/citations?hl=en&user=GfqDbk0AAAAJ&view_op=list_works&gmla=AJsN-F7bao5yDKZ1NPjIvW2S4WGUkfTwfxjxCuFfPfVW2Jkx_IgDpUFF0MXg2p5OhlrtjlQeYUI0JonGxwb5ffdGUKN4-rtvBdVc0AB8fasqGwNvOCAzqeU
405;Sofyan Syahnur., Dr., S.E., M.Si ;;FE;https://scholar.google.co.id/citations?user=d161aF4AAAAJ&hl=en&oi=ao
406;Sulaiman., Dr., SE, MM ;;FE;https://scholar.google.co.id/citations?hl=en&user=ZRC2P9YAAAAJ
407;Syukriy Abdullah., Dr., S.E, M.Si ;Keuangan Negara/Pemerintah, Akuntansi Sektor Publik;FE;https://scholar.google.co.id/citations?hl=en&user=lQ1I5-gAAAAJ&view_op=list_works&gmla=AJsN-F7clwuHILenbujmDCUtxxteCDZ_ZnlnoQi-GzOhqGyrrxB4uEP2BE1RGRZ6TTIrXoyJ_6G1ICXdjr1Q0mjqDsaECpMmZapKr6JDL9_v2Pvi4itglrY
408;Teuku Roli Ilhamsyah Putra., Dr., SE., MM ;Manajemen;FE;https://scholar.google.co.id/citations?hl=en&user=GsPuEDwAAAAJ&view_op=list_works&gmla=AJsN-F6pQ7aUfq2HW_zY5oze7LvvomCe-TSvPyx4wxuDWLV3Z0MoVbSquCQ3GVD6jlrycfphZACaUy8oxqoC7nnVVg6O-RPU_SLeRn9nbhMKyS02xNkkZM8
409;Vivi Silvia., Dr., S.E, M.Si ;Ekonomi Pembangunan;FE;https://scholar.google.co.id/citations?hl=id&pli=1&user=WEzX1nkAAAAJ
410;Yossi Diantimala., Dr., SE.Ak., M.Si. ;Akuntansi Keuangan;FE;https://scholar.google.co.id/citations?user=Mw1toooAAAAJ&hl=en
411;Zuraida., S.E, MBA., Ph.D ;;FE;https://scholar.google.com/citations?hl=en&user=Lnr0H3YAAAAJ
412;Dian Masyitha., drh., M.P. ;Histologi Veteriner;FKH;https://scholar.google.com/citations?hl=en&user=lpy-6owAAAAJ
413;M. Daud AK., drh., M.Si ;Medical Microbiology;FKH;https://scholar.google.com/citations?view_op=list_works&hl=en&user=kOtxYZMAAAAJ
414;Masda Admi., drh., M.Si. ;;FKH;https://scholar.google.co.id/citations?user=lMEYZ3AAAAAJ&hl=en
415;Mudhita Zikkrullah Ritonga., Drh., S.KH., M.Vet. ;Anatomi Veteriner, Akupunktur Veteriner, Klinik Veteriner;FKH;https://scholar.google.com/citations?hl=en&view_op=list_works&gmla=AJsN-F70xZw7rPVGe7nl8w-ebTm0FdHBcBM6upQW5JU9MLA1ES86BfGOgPkiRWEldBuHty13-k60vZIgovMIuFFoVQzfwwUZNA&user=zOqfWP8AAAAJ
416;Wahyu Eka Sari., S.Si., M.Si ;Mikrobiologi, Kesmavet, dan Biologi Molekuler;FKH;https://scholar.google.com/citations?hl=en&user=OeNld2IAAAAJ
417;Dedy Yuliansyah., S.H., M.H. ;Ilmu Hukum;FH;https://scholar.google.co.id/citations?user=h9Z3I08AAAAJ&hl=id&authuser=2
418;Efendi., Dr., S.H., M.Si ;Hukum Lingkungan;FH;https://scholar.google.co.id/citations?user=8DsS1VQAAAAJ&hl=en
419;Faisal., Prof. Dr., S.H, M.Hum. ;Ilmu Hukum;FH;https://scholar.google.co.id/citations?user=rT7KlnEAAAAJ&hl=en
420;Fikri., SH., MH ;;FH;https://scholar.google.com/citations?user=eGeh3G8AAAAJ&hl=en
421;Husni., Prof. Dr., S.H., M.Hum ;Hukum Tata Negara dan Pemerintah Daerah;FH;https://scholar.google.co.id/citations?user=4HlwZl4AAAAJ&hl=id
422;Iman Jauhari., Dr., S.H., M.Hum ;Hukum Islam;FH;https://scholar.google.co.id/citations?user=RElI7ugAAAAJ&hl=id
423;Khairil Akbar., S.HI., M.H. ;Criminal Law, Islamic Criminal Law, Election Law;FH;
424;Lia Sautunnida., S.H., M.C.L. ;;FH;https://scholar.google.com/citations?user=Iii8WiEAAAAJ&hl=en
425;Mahfud., SH.,LL.M. ;Criminal Law and Criminal Justice, Juvenile Justice System, International Criminal Law;FH;https://scholar.google.co.id/citations?user=f5g7YOoAAAAJ&hl=en
426;Mohd. Din., Dr., SH, MH ;Hukum Pidana;FH;https://scholar.google.com/citations?user=Yes819AAAAAJ&hl=en
427;Nursiti., S.H., M.Hum. ;;FH;https://scholar.google.com/citations?user=2CGuAb4AAAAJ
428;Rizanizarli., Dr., S.H, M.H. ;Anak Berkonflik dengan Hukum;FH;https://scholar.google.co.id/citations?hl=en&user=is90rX4AAAAJ
429;Sanusi., Dr., S.H., M.L.I.S,  ;Hukum Keperdataan/Hukum Ekonomi dan Bisnis;FH;https://scholar.google.co.id/citations?hl=en&user=vb4mGvoAAAAJ
430;Sulaiman., Dr., S.H., M.H. ;;FH;https://scholar.google.co.id/citations?user=0BS7YMkAAAAJ&hl=en
431;Teuku Ahmad Yani., Dr., S.H, M.Hum ;hukum ekonomi;FH;https://scholar.google.com/citations?user=KsP0NeEAAAAJ
432;Teuku Muttaqin Mansur., Dr., M.H. ;customary law;FH;https://scholar.google.co.id/citations?user=P32QmHAAAAAJ&hl=en
433;Yunita., S.H., LL.M. ;;FH;https://scholar.google.com/citations?user=teRhAQMAAAAJ&hl=en
434;Zahratul Idami., Dr., S.H., M.Hum. ;Hukum Islam, Hukum Tata Negara dan Hukum Lingkungan;FH;https://scholar.google.co.id/citations?user=zHmOKpMAAAAJ&hl=id
435;Abdul Munir., Dr., S.T,. M.T. ;;FT;https://scholar.google.co.id/citations?hl=en&user=Tyw_LJYAAAAJ
436;Abdullah., Dr. Ir., M.Sc ;Reinforced Concrete Structures, Retrofitting, Ferrocement, Lightweight Concrete, Low cost housing;FT;https://scholar.google.com/citations?user=0eFdHckAAAAJ&hl=en
437;Adisalamun., Dr. Ir., M.T. ;;FT;https://scholar.google.com/citations?user=hxoxK1EAAAAJ&hl=en&oi=ao
438;Ahmad Reza Kasury., S.T., M.T. ;Hidrologi;FT;https://scholar.google.co.id/citations?user=cl7TB8cAAAAJ&hl=en
439;Akram., S.T, MT ;Material Processing and Manufacture;FT;
440;Alfiansyah Yulianur BC., Dr. Ir;;FT;https://scholar.google.com/citations?user=iPKgJmUAAAAJ&hl=en
441;Amir Zaki Mubarak., S.T, M. Sc ;;FT;https://scholar.google.com/citations?hl=en&user=khkyM1wAAAAJ
442;Arhami., Dr., S.T., M.T. ;Mechanical Engineering Design;FT;https://scholar.google.co.id/citations?hl=en&view_op=list_works&gmla=AJsN-F4yABc9uoj1rcmg9LXuBJox4VOoF8gqDDk0c31zBAWORMQFmyd62uCRqdzviZ7AjU_kLFT0b0viNRM3IHLOjStAos4hvA&user=FCPDRtUAAAAJ
443;Asbar R.., Ir., M.T. ;;FT;https://scholar.google.co.id/citations?hl=en&user=KFH3XUEAAAAJ
444;Asrillah., S.Si., M.Sc. ;Seismik;FT;https://scholar.google.co.id/citations?hl=en&user=bfMXGPIAAAAJ
445;Azhar Abdullah Arif., Ir., M.T. ;;FT;https://scholar.google.co.id/citations?user=c3oifxoAAAAJ&hl=en
446;Azmeri., Prof. Dr., S.T, M.T. ;Water Resources Management;FT;https://scholar.google.co.id/citations?user=V6xwdQsAAAAJ&hl=en
447;Azwar., Dr., ST, M.Eng.Sc ;;FT;https://scholar.google.com/citations?user=7cnnGB0AAAAJ&hl=en
448;Banta Chairullah M., Ir., M.Ing., IPU ;Bidang GEOTEKNIK;FT;https://scholar.google.co.id/citations?hl=en&user=LyryjnEAAAAJ
449;Bastian Arifin., Prof. Dr., M.Sc ;Teknologi Lingkungan;FT;https://scholar.google.co.id/citations?hl=id&user=-IKCJ5YAAAAJ
450;Cut Dewi., Dr., ST., MT,M.Sc ;konservasi arsitektur dan kawasan;FT;https://scholar.google.com/citations?hl=en&user=LbAZKCYAAAAJ
451;Cut Meurah Rosnelly., Dr. Ir., M.T ;;FT;https://scholar.google.co.id/citations?view_op=list_works&hl=en&user=QXa_nxMAAAAJ
452;Cut Nursaniah., ST., MT ;"Arsitektur Vernakular; Struktur dan Konstruksi";FT;https://scholar.google.com/citations?user=YExrd6oAAAAJ&hl=en
453;Darmadi., Dr. Ir., M.T. ;Teknologi Proses (adsorption, Electrocoagulation, and reaction Engineering) and Modeling.;FT;https://scholar.google.co.id/citations?user=xaYbJLQAAAAJ&hl=en
454;Edi Munawar., Dr., S.T., M.Eng ;Solid Waste Management;FT;https://scholar.google.co.id/citations?hl=en&user=25ODPUsAAAAJ&view_op=list_works&sortby=pubdate
455;Elizar., ST, M.Sc ;Manajemen Spektrum;FT;https://scholar.google.co.id/citations?user=TklU-wYAAAAJ&hl=en
456;Ella Meilianda., Dr., ST.MT ;Coastal process and morphology;FT;https://scholar.google.com/citations?hl=id&user=jz9sE3sAAAAJ&view_op=list_works&sortby=pubdate
457;Ernita Dewi Meutia., Ir., PG.Dipl ;;FT;https://scholar.google.co.id/citations?user=CYhYHrYAAAAJ&hl=en
458;Evalina Z.., S.T., MURP ;Resilient City, Inclusive city, Islamic city;FT;https://scholar.google.co.id/citations?user=tXrfbVkAAAAJ&hl=en#
459;Fardian., S.T., M.Sc. ;Computer Vision, IOT, ICT4D, Smart City;FT;https://scholar.google.co.id/citations?user=gxUhKVMAAAAJ
460;Febi Mutia., S.T., M.Sc. ;mining operations, mine drainage, and hydrogeology;FT;https://scholar.google.co.id/citations?user=cekc_OUAAAAJ&hl=en&authuser=1
461;Fitrika Mita Suryani., S.T., M.T. ;;FT;https://scholar.google.co.id/citations?hl=en&view_op=list_works&gmla=AJsN-F6PpJlekclKUb57nRrmBEzbzzAFSgBubkoUseNdQUwkNMzD4fX0JV_jt8lNY4GiTnP5bZYa6B_F3JWtNwaKj4FBZaCQOw&user=vQU87pgAAAAJ
462;Friesca Erwan., S.T., MProjMgt ;Manajemen Industri, Perancangan Sistem Kerja, Project Management;FT;https://scholar.google.com/citations?hl=en&user=UtgEQiUAAAAJ
463;Gartika Setiya Nugraha., ST, M.Si ;Teknik Geologi ;FT;https://scholar.google.co.id/citations?user=3xzRADVuQO4C&hl=en
464;H. Komala Pontas., Dr. Ir;;FT;https://scholar.google.com/citations?hl=id&user=Tew-f5UAAAAJ
465;Hendra Gunawan., S.T.,M.T ;Stabilitasi tanah, perbaikan lereng;FT;https://scholar.google.co.id/citations?hl=id&user=m1eW88wAAAAJ
466;Hisbullah., Dr., S.T., M.Eng.Sc ;Process Modeling and Control;FT;https://scholar.google.com/citations?hl=en&user=0_IYfeYAAAAJ
467;Hubbul Walidainy., S.T., M.T., IPM ;;FT;https://scholar.google.com/citations?hl=en&user=w7w3EGkAAAAJ&view_op=list_works&sortby=pubdate
468;Husni., Dr., ST, M.Sc., M. E ;Mineral Processing, Metallurgy, Steel Heat Treatment;FT;https://scholar.google.com/citations?hl=en&user=ajGjiKEAAAAJ
469;Irin Caisarina., Dr., ST, M. Sc. ;;FT;https://scholar.google.co.id/citations?user=Hn-fIZoAAAAJ&hl=id&oi=ao
470;Izziah., Dr. Ir., M.Sc ;;FT;https://scholar.google.com/citations?user=Hm4C-BIAAAAJ&hl=en
471;Kahlil., Dr., S.T., M.Eng. ;Computer Vision and Deep Learning;FT;https://scholar.google.com/citations?user=3ll8Yr4AAAAJ&hl=en
472;Kahlil Muchtar., ST., M.Eng., Ph ;Computer Vision;FT;https://scholar.google.com/citations?user=3ll8Yr4AAAAJ&hl=en
473;Khairil., Prof. Dr. Ir., M.T. ;Teknik Pembakaran, Energi baru dan terbarukan.;FT;https://scholar.google.co.id/citations?hl=id&user=bXVtIasAAAAJ
474;Khaizal., ST, M.Sc. ;Engineering seismology, geotechnics, applied geophysics, geomorphology;FT;https://scholar.google.co.id/citations?user=OkThVwEAAAAJ&hl=en
475;Laina Hilma Sari., Dr., S.T, M.Sc ;"Green, ecology, sustainable architecture; thermal comfort";FT;https://scholar.google.co.id/citations?user=Yn6oegcAAAAJ&hl=en
476;M. Isya., Dr. Ir., M.T. ;Transportation Engineering;FT;https://scholar.google.co.id/citations?hl=id&user=dMKLWlEAAAAJ
